index,centLat,centLon,numStruct,dist,wireCost,production,consumption,netEffect
7066,-0.583537009,34.23896522,1,0,0,1701.71,1109.49,592.216
7067,-0.603239563,34.1225832,2,0.02169584,216.9584023,3025.19,2201.15,824.044
7068,-0.596565895,34.09851104,9,0.256176226,2561.76226,14671.38,10925.38,3745.98
7069,-0.609799142,34.19388697,1,0,0,1852.26,1312.1,540.153
7070,-0.597221854,34.11518662,2,0.030518148,305.1814756,2945.91,2175.26,770.645
7071,-0.607484277,34.22554585,1,0,0,1623.34,1167.29,456.049
7072,-0.620746017,34.23892244,3,0.052286472,522.8647151,4781.54,3547.31,1234.226
7073,-0.615346259,34.26315621,3,0.030985975,309.859752,4668.47,3424.76,1243.709
7074,-0.576159823,34.20096506,2,0.013725867,137.2586667,2863.12,2110.796,752.323
7075,-0.589065139,34.15887207,1,0,0,1400.89,994.576,406.313
7076,-0.584815657,34.14715923,2,0.008524967,85.2496722,3535.88,2388.69,1147.178
7077,-0.605692275,34.19527502,2,0.038489573,384.895727,3306.07,2257.75,1048.319
7078,-0.597735213,34.12979914,2,0.030444816,304.4481567,2953.15,2144.107,809.04
7079,-0.62246196,34.10189084,2,0.016140286,161.4028564,3141.08,2339.64,801.434
7080,-0.604090406,34.24256368,3,0.070066505,700.6650473,4832.94,3540.05,1292.896
7081,-0.608306601,34.17229619,1,0,0,1671.18,1330.6,340.575
7082,-0.587548825,34.20620827,1,0,0,1686.01,1280.7,405.308
7083,-0.595738816,34.14190177,3,0.036200063,362.0006338,4525.69,3429.501,1096.197
7084,-0.603173016,34.18471255,3,0.05774858,577.4858021,4779.33,3247.516,1531.817
7085,-0.59493075,34.16379678,1,0,0,1700.13,1224.52,475.61
7086,-0.594113177,34.11386512,1,0,0,1325.06,976.63,348.434
7087,-0.601994192,34.11207778,1,0,0,1251.9,936.871,315.032
7088,-0.612945836,34.09789308,4,0.087051498,870.5149845,6323.14,4821.04,1502.092
7089,-0.593913537,34.1319953,2,0.015249869,152.4986932,3153.58,2469.96,683.614
7090,-0.618816175,34.23657417,3,0.035237179,352.3717851,4974.67,3738.51,1236.158
7091,-0.593048432,34.1049474,3,0.035230132,352.3013158,5130.44,3716.54,1413.901
7092,-0.58168796,34.13244213,1,0,0,1625.09,1251.31,373.779
7093,-0.6212974,34.25328777,4,0.091022412,910.2241176,6573.65,4894.43,1679.217
7094,-0.628332288,34.23977808,3,0.060666987,606.6698659,4684.52,3671.45,1013.069
7095,-0.576573364,34.20413095,1,0,0,1325.06,976.63,348.434
7096,-0.603700634,34.22834096,2,0.029322249,293.2224861,3041.8,1955.576,1086.222
7097,-0.586564885,34.15083851,1,0,0,1400.89,994.576,406.313
7098,-0.607921582,34.22638248,2,0.02177295,217.7295009,3439.24,2401.43,1037.811
7099,-0.604190227,34.11133622,1,0,0,1737.53,1291.94,445.595
7100,-0.583375395,34.20005713,1,0,0,1633.3,1150.39,482.908
7101,-0.609262017,34.23262869,2,0.03228071,322.8070981,2792.04,2093.037,699.001
7102,-0.605825369,34.1038921,1,0,0,1329.81,976.817,352.991
7103,-0.576193096,34.20084622,2,0.013725867,137.2586667,3203.81,2399.11,804.698
7104,-0.590348539,34.18620518,2,0.035149324,351.4932417,3055.07,1857.756,1197.316
7105,-0.603016156,34.21776899,1,0,0,1468.83,1035.1,433.721
7106,-0.612099747,34.09903394,8,0.133740548,1337.405476,11667.67,8761.484,2906.185
7107,-0.591774539,34.15502166,2,0.022826018,228.2601781,3306.96,2243.88,1063.074
7108,-0.625879586,34.2348914,2,0.025574692,255.746916,3104.18,2258.73,845.449
7109,-0.583427682,34.19310739,2,0.010573923,105.7392275,2632.58,1948.249,684.332
7110,-0.596984188,34.18500728,4,0.077279849,772.7984933,6277.2,4700.67,1576.548
7111,-0.630680418,34.21465063,3,0.063981627,639.8162735,4939.68,3419.67,1520.002
7112,-0.57658287,34.09621031,3,0.072070245,720.7024528,4850.75,3629.01,1221.733
7113,-0.604375606,34.24601479,3,0.041623639,416.2363868,4316.89,3193.373,1123.522
7114,-0.599265784,34.14527681,1,0,0,1325.06,976.63,348.434
7115,-0.597568847,34.2623386,2,0.026519235,265.1923512,3114.14,2241.83,872.308
7116,-0.592164312,34.10071671,3,0.028471264,284.7126357,4840.84,3272.666,1568.17
7117,-0.603363149,34.17831423,2,0.011821994,118.2199438,3199.64,2389.66,809.988
7118,-0.594750123,34.17974981,1,0,0,1672.25,1304.54,367.713
7119,-0.596332982,34.23998724,1,0,0,1527.39,1085.12,442.275
7120,-0.61121563,34.10038396,4,0.069593537,695.9353683,5980.99,3864.412,2116.572
7121,-0.615431818,34.20599911,1,0,0,1821.09,1268.55,552.544
7122,-0.581611906,34.13824151,1,0,0,1852.26,1312.1,540.153
7123,-0.577314885,34.14315671,2,0.014803497,148.0349734,2904.57,2169.166,735.401
7124,-0.57626915,34.12259271,2,0.016001275,160.0127465,3154.84,2315.8,839.029
7125,-0.587415731,34.25253195,5,0.132154155,1321.54155,7548.46,5472.112,2076.355
7126,-0.622191022,34.2412517,3,0.072082085,720.8208509,4802.86,3501.47,1301.386
7127,-0.59754508,34.09826386,5,0.101857403,1018.574033,7830.95,5669.066,2161.888
7128,-0.598457719,34.16078301,2,0.025465343,254.6534322,3093.92,2286.41,807.5
7129,-0.610702272,34.17175428,1,0,0,1468.83,1035.1,433.721
7130,-0.587819766,34.18385691,5,0.100317368,1003.173676,7457.84,5713.42,1744.421
7131,-0.608282834,34.26229106,7,0.140221699,1402.216993,10321.34,7488.968,2832.387
7132,-0.603862247,34.24031999,3,0.038534371,385.3437077,4773.27,3523.636,1249.636
7133,-0.592796504,34.23965449,1,0,0,1625.09,1251.31,373.779
7134,-0.582543561,34.12353391,2,0.031438596,314.3859592,3000.99,2307.417,693.566
7135,-0.588409179,34.18806859,3,0.051733725,517.3372498,4430.23,3284.267,1145.964
7136,-0.603239563,34.1225832,2,0.02169584,216.9584023,2969.22,2245.613,723.614
7137,-0.604846184,34.11219186,2,0.031792058,317.9205818,2767.95,2154.363,613.589
7138,-0.591717499,34.18771682,4,0.069735072,697.3507182,5893.9,4508.859,1385.035
7139,-0.61214728,34.09902443,8,0.120920517,1209.205166,12693.21,9430.73,3262.476
7140,-0.596119082,34.12612937,1,0,0,1231.69,953.673,278.019
7141,-0.606885359,34.22001268,5,0.072036891,720.3689072,7832.54,5816.747,2015.787
7142,-0.596594414,34.11088938,3,0.054390891,543.9089131,4572.61,3406.77,1165.842
7143,-0.593533271,34.12579662,6,0.098562825,985.6282492,9148.04,6665.102,2482.929
7144,-0.595215949,34.18990347,3,0.050032399,500.3239944,4369.75,3352.097,1017.649
7145,-0.581649933,34.08936515,4,0.087721634,877.2163383,6429.2,4306.636,2122.555
7146,-0.59810122,34.21552529,1,0,0,1468.83,1035.1,433.721
7147,-0.586393765,34.13837461,2,0.024685042,246.8504242,3274.36,1990.836,1283.526
7148,-0.61035528,34.23088888,1,0,0,1409.06,1248.51,160.55
7149,-0.583537009,34.23896522,1,0,0,1700.13,1224.52,475.61
7150,-0.633926919,34.18758847,2,0.022776763,227.7676272,3373.96,2414.03,959.929
7151,-0.594992543,34.25098704,3,0.065742109,657.4210877,4614.16,3729.71,884.451
7152,-0.587063985,34.24932804,1,0,0,1251.9,936.871,315.032
7153,-0.609352331,34.10316005,4,0.066071907,660.7190709,6518.13,4741.91,1776.222
7154,-0.599256277,34.17697372,2,0.018006755,180.0675453,3138.75,2519.86,618.881
7155,-0.599655557,34.09852055,1,0,0,1462.23,1116.22,346.01
7156,-0.620489339,34.25468533,3,0.030253658,302.5365778,4471.4,3579.21,892.182
7157,-0.588052678,34.20723504,7,0.128368387,1283.68387,11683.67,8155.226,3528.441
7158,-0.587591605,34.1594425,1,0,0,1251.9,936.871,315.032
7159,-0.600368556,34.18522594,2,0.033852975,338.5297462,3219.88,2277.28,942.595
7160,-0.598448212,34.18359071,6,0.150433256,1504.332564,9012.06,6593.509,2418.546
7161,-0.59463129,34.24819193,2,0.03514928,351.4927983,3454.39,2418.94,1035.452
7162,-0.632315551,34.23910307,2,0.034050329,340.5032877,2767.95,2154.363,613.589
7163,-0.591603418,34.18325796,2,0.032932263,329.3226259,2984.48,2056.676,927.81
7164,-0.606205634,34.15994638,1,0,0,1480.84,1091.44,389.4
7165,-0.587525058,34.09318703,2,0.020311824,203.1182365,3314.49,2428.32,886.163
7166,-0.591014005,34.18826824,2,0.024955292,249.5529219,3199.64,2389.66,809.988
7167,-0.599427397,34.12680438,1,0,0,1701.71,1109.49,592.216
7168,-0.588228552,34.14474441,2,0.026115736,261.1573612,3133.41,2446.82,686.585
7169,-0.588028912,34.09187504,4,0.090681779,906.8177877,6135.21,4364.062,1771.144
7170,-0.593533271,34.12579662,6,0.098562825,985.6282492,9756.79,6965.44,2791.349
7171,-0.58363683,34.1428715,5,0.123725861,1237.258608,7181.86,5656.297,1525.563
7172,-0.625794026,34.21162735,2,0.012732614,127.3261412,3177.32,2288.73,888.587
7173,-0.584359336,34.1770783,3,0.052540302,525.4030217,4909.15,3640.78,1268.361
7174,-0.610930431,34.09745575,2,0.0316863,316.8630018,3090.91,2356.55,734.355
7175,-0.591018759,34.20488677,1,0,0,1852.26,1312.1,540.153
7176,-0.589816165,34.1598418,3,0.058094708,580.9470833,4803.84,3294.98,1508.845
7177,-0.597830279,34.11588064,5,0.117152361,1171.523613,7701.69,5604.411,2097.27
7178,-0.598471979,34.25170958,1,0,0,1623.34,1167.29,456.049
7179,-0.595772089,34.25143387,1,0,0,1671.18,1330.6,340.575
7180,-0.586512599,34.20401211,4,0.046896521,468.9652096,6038.88,4435.487,1603.383
7181,-0.596746521,34.12343884,1,0,0,1574.23,766.316,807.916
7182,-0.591917139,34.13059774,1,0,0,1477.08,1140.16,336.924
7183,-0.583541762,34.09857759,1,0,0,1503.68,1174.59,329.088
7184,-0.619648004,34.17284285,3,0.039373917,393.7391732,5026.76,3386.27,1640.481
7185,-0.624082837,34.24809686,2,0.012056074,120.5607351,3229.45,2399.57,829.882
7186,-0.593438204,34.19520847,3,0.059477212,594.7721163,4548.88,3742.31,806.569
7187,-0.605687522,34.2520043,1,0,0,1574.23,766.316,807.916
7188,-0.633446836,34.13441962,1,0,0,1625.09,1251.31,373.779
7189,-0.589012852,34.19772787,1,0,0,1604.36,1148.26,456.103
7190,-0.597739967,34.24703205,1,0,0,1623.34,1167.29,456.049
7191,-0.604817664,34.10501395,4,0.068626862,686.2686203,6489.08,4346.986,2142.098
7192,-0.620380013,34.08801988,2,0.024955219,249.5521853,3031.32,1737.872,1293.451
7193,-0.581155586,34.13764256,2,0.029379589,293.7958949,3015.82,2257.517,758.299
7194,-0.610735545,34.24061471,2,0.025133828,251.3382818,3104.16,2248.971,855.185
7195,-0.577124752,34.13684395,2,0.03027918,302.7917977,3157.22,2196.076,961.145
7196,-0.587487032,34.15092407,1,0,0,1251.9,936.871,315.032
7197,-0.577024931,34.20702113,2,0.028627807,286.2780706,3013.34,2340.85,672.494
7198,-0.623208229,34.24489294,4,0.083991406,839.9140643,6135.81,3996.402,2139.412
7199,-0.608287587,34.17490116,2,0.035951209,359.5120864,2640.75,2202.183,438.569
7200,-0.621611119,34.25148141,3,0.031110605,311.1060512,4977.65,2985.296,1992.348
7201,-0.609884702,34.11793419,2,0.017502936,175.0293613,3325.05,2276.78,1048.265
7202,-0.606139088,34.10366393,1,0,0,1737.53,1291.94,445.595
7203,-0.579339809,34.19275562,5,0.079046198,790.4619823,7110.95,5236.502,1874.449
7204,-0.626754193,34.21447,1,0,0,1480.84,1091.44,389.4
7205,-0.620803057,34.23424491,3,0.056844012,568.4401213,4386.51,3096.446,1290.072
7206,-0.576516324,34.0914282,2,0.023926149,239.2614927,3029.94,2201.337,828.601
7207,-0.597369207,34.19817471,2,0.012732667,127.3266667,3005.25,2142.836,862.416
7208,-0.620803057,34.25449518,5,0.114729699,1147.296991,7797.26,5684.277,2112.981
7209,-0.596803561,34.19517044,1,0,0,1821.09,1268.55,552.544
7210,-0.587197078,34.25280766,3,0.078275566,782.7556565,4583.44,3195.506,1387.929
7211,-0.604456413,34.11057564,3,0.054368186,543.6818611,4643.2,3432.18,1211.02
7212,-0.632857427,34.08659856,3,0.060362485,603.6248465,4888.43,3537.307,1351.13
7213,-0.587125778,34.13415342,2,0.034636623,346.3662313,2877.89,2283.61,594.271
7214,-0.588228552,34.10296991,1,0,0,1251.9,936.871,315.032
7215,-0.583698623,34.20724455,3,0.039800716,398.0071644,4792.81,3549.62,1243.185
7216,-0.591936152,34.10493789,1,0,0,1527.39,1085.12,442.275
7217,-0.614157931,34.24549189,4,0.076165704,761.6570437,6019.83,4419.863,1599.956
7218,-0.605492636,34.10452908,1,0,0,1325.06,976.63,348.434
7219,-0.584440143,34.2398684,1,0,0,1671.18,1330.6,340.575
7220,-0.595282496,34.16831269,1,0,0,1737.53,1291.94,445.595
7221,-0.627666826,34.22091586,5,0.092972458,929.7245843,7885.52,6040.01,1845.501
